Student,ID,SIS User ID,SIS Login ID,Section,⌨️ Typing 5/4 - 5/11 (808905),⌨️ Typing 5/12 - 5/18  (809320),⌨️ Typing 5/18 - 5/24 - EXTRA CREDIT (811036),⌨️ Typing 5/26 - 5/31 (814316),10.1 Adventure Game (802407),10.2 Key Terms (802408),11.1 Key Terms (804230),11.2 Computer Hardware Notes (804934),Unit 11 Key Terms Quiz (804232),12.1 Microbit worksheet (805815),12.2 Key Terms (805816),12.3 Mood Radio (Microbit) (806151),13.1 Microbit and AI (806732),13.2 Adding labels and collecting data (807108),13.3 Microbit AI Project (807333),14.1 Find Your Niche (808903),15.1 Your Niche Video (809319),16.2 - NicheMaxxing Viewing and Reflection (813563),17.1 Dark Patterns (814315),17.2 How the Internet Works (814444),Assignments Current Points (Quarter 4),Assignments Final Points (Quarter 4),Assignments Current Score (Quarter 4),Assignments Unposted Current Score (Quarter 4),Assignments Final Score (Quarter 4),Assignments Unposted Final Score (Quarter 4),Imported Assignments Unposted Final Score (Quarter 4),Current Points (Quarter 4),Final Points (Quarter 4),Current Score (Quarter 4),Unposted Current Score (Quarter 4),Final Score (Quarter 4),Unposted Final Score (Quarter 4)
    Points Possible,,,,,5,5,0,5,20,5,10,10,5,15,10,10,10,10,20,20,20,10,10,10,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only)
"Anderson, Riley",10112,73101,randerson@school.edu,P07-Computer Science 10-Sample,4,4,0,0,19,0,9,9,5,14,Missing,9,10,9,19,19,20,9,9,9,177,177,84.29,84.29,84.29,84.29,,177,177,84.29,84.29,84.29,84.29
"Brown, Jaylen",10234,73115,jbrown@school.edu,P07-Computer Science 10-Sample,4,5,0,5,19,4,10,10,5,14,10,10,10,9,20,20,20,9,Missing,9,193,193,91.9,91.9,91.9,91.9,,193,193,91.9,91.9,91.9,91.9
"Chen, Amy",10356,73129,achen@school.edu,P07-Computer Science 10-Sample,5,5,0,5,20,4,9,9,5,15,10,10,0,10,20,20,Missing,9,9,9,174,174,82.86,82.86,82.86,82.86,,174,174,82.86,82.86,82.86,82.86
"Clark, Finn",10478,73143,fclark@school.edu,P07-Computer Science 10-Sample,4,5,3,4,19,5,10,10,4,Missing,9,9,9,10,19,0,19,10,10,10,169,169,80.48,80.48,80.48,80.48,,169,169,80.48,80.48,80.48,80.48
"Davis, Emma",10589,73157,edavis@school.edu,P07-Computer Science 10-Sample,Missing,5,0,4,20,4,9,Missing,4,14,10,Missing,0,10,19,19,20,9,10,9,166,166,79.05,79.05,79.05,79.05,,166,166,79.05,79.05,79.05,79.05
"Flores, Marco",10701,73161,mflores@school.edu,P07-Computer Science 10-Sample,5,2,0,0,18,0,Missing,9,Missing,13,10,8,7,9,0,17,Missing,0,0,8,106,106,50.48,50.48,50.48,50.48,,106,106,50.48,50.48,50.48,50.48
"Garcia, Luis",10812,73175,lgarcia@school.edu,P07-Computer Science 10-Sample,4,5,0,2,0,3,10,Missing,5,0,8,7,8,8,Missing,19,18,0,10,Missing,107,107,50.95,50.95,50.95,50.95,,107,107,50.95,50.95,50.95,50.95
"Harris, Amara",10923,73189,aharris@school.edu,P07-Computer Science 10-Sample,4,Missing,5,5,Missing,Missing,8,7,Missing,0,8,10,7,9,0,20,0,7,9,7,106,106,50.48,50.48,50.48,50.48,,106,106,50.48,50.48,50.48,50.48
"Hernandez, Isabella",11034,73193,ihernandez@school.edu,P07-Computer Science 10-Sample,2,0,0,3,0,5,8,0,Missing,Missing,8,Missing,7,9,18,18,0,0,Missing,9,87,87,41.43,41.43,41.43,41.43,,87,87,41.43,41.43,41.43,41.43
"Jackson, Aaliyah",11145,73207,ajackson@school.edu,P07-Computer Science 10-Sample,3,Missing,0,0,20,3,10,Missing,5,14,9,10,7,9,17,18,Missing,9,8,8,150,150,71.43,71.43,71.43,71.43,,150,150,71.43,71.43,71.43,71.43
"Kim, Jessica",11256,73211,jkim@school.edu,P07-Computer Science 10-Sample,Missing,Missing,5,Missing,18,5,0,7,0,12,7,9,8,7,19,Missing,19,7,8,Missing,131,131,62.38,62.38,62.38,62.38,,131,131,62.38,62.38,62.38,62.38
